id,level,jobs
"1",1,835182
"1",2,916679
"1",3,981919
"2",1,838701
"2",2,945191
"2",3,1002605
"3",1,766481
"3",2,870616
"138",2,150818
"3",3,940191
"4",1,773551
"4",2,901622
"4",3,953918
"5",1,837675
"5",2,957060
"5",3,1016052
"6",1,840194
"6",2,960133
"6",3,1022801
"7",1,822620
"7",2,960997
"7",3,996505
"8",1,807738
"8",2,879867
"8",3,951094
"9",1,762252
"9",2,863859
"9",3,891628
"10",1,759175
"10",2,881510
"10",3,909965
"11",1,729831
"11",2,844112
"11",3,871450
"12",1,688828
"12",2,811394
"12",3,842900
"13",1,647304
"13",2,796851
"13",3,815650
"14",1,701751
"14",2,807771
"14",3,833780
"15",1,523173
"15",2,675973
"15",3,680861
"16",1,530455
"16",2,751332
"16",3,766354
"17",1,368187
"17",2,610107
"17",3,624858
"23",1,685793
"23",2,821119
"23",3,845067
"24",1,356871
"24",2,655811
"24",3,697525
"25",1,664053
"25",2,720687
"25",3,768665
"26",1,695839
"26",2,888432
"26",3,933344
"27",1,752129
"27",2,969678
"27",3,1022730
"28",1,594110
"28",2,753348
"28",3,780277
"29",1,381850
"29",2,575538
"29",3,620214
"138",3,167774
"30",1,714709
"30",2,908649
"30",3,942311
"31",1,455378
"31",2,722458
"31",3,778711
"130",1,117219
"139",2,119691
"130",2,135768
"130",3,154733
"131",1,116840
"131",2,125411
"131",3,131503
"132",1,111051
"132",2,146054
"132",3,162345
"133",1,98121
"133",2,161047
"133",3,180057
"134",1,87272
"134",2,144684
"134",3,154123
"135",1,101438
"135",2,163065
"139",1,86676
"135",3,166224
"136",1,88301
"136",2,141998
"136",3,160252
"137",1,93358
"137",2,140796
"137",3,157267
"138",1,102131
"139",3,122769
"140",1,98412
"140",2,161870
"140",3,176040
"141",1,107284
"141",2,187324
"141",3,482168
"142",1,120503
"142",2,155370
"142",3,234175
"143",1,112263
"143",2,150736
"143",3,231585
"144",1,108722
"144",2,133111
"144",3,184587
"145",1,110638
"145",2,136532
"145",3,152734
"146",1,110697
"146",2,140557
"146",3,151576
"147",1,102063
"147",2,105442
"147",3,110788
"148",1,108992
"148",2,121013
"148",3,129118
"149",1,107566
"149",2,122243
"149",3,128929
