id,level,uitjes
1,1,537
1,2,621
1,3,674
2,1,543
2,2,634
2,3,685
3,1,492
3,2,622
3,3,672
4,1,505
4,2,633
4,3,704
5,1,539
5,2,647
5,3,722
6,1,528
6,2,648
6,3,698
7,1,523
7,2,639
7,3,682
8,1,530
8,2,603
8,3,636
9,1,500
9,2,604
9,3,628
10,1,513
10,2,619
10,3,673
11,1,465
11,2,613
11,3,678
12,1,441
12,2,584
12,3,626
13,1,418
13,2,567
13,3,633
14,1,442
14,2,594
14,3,651
15,1,349
15,2,448
15,3,457
16,1,368
16,2,568
16,3,585
17,1,298
17,2,438
17,3,474
23,1,460
23,2,603
23,3,636
24,1,282
24,2,543
24,3,468
25,1,440
25,2,501
25,3,540
26,1,471
26,2,602
26,3,674
27,1,496
27,2,675
27,3,726
28,1,312
28,2,494
28,3,544
29,1,184
29,2,292
29,3,338
138,2,168
30,1,434
30,2,625
30,3,704
31,1,260
31,2,462
31,3,526
130,1,123
138,3,185
130,2,161
130,3,170
131,1,122
131,2,138
131,3,143
132,1,123
132,2,161
132,3,180
133,1,102
133,2,151
133,3,164
134,1,86
134,2,153
134,3,166
135,1,104
135,2,173
139,1,84
135,3,182
136,1,84
136,2,149
136,3,159
137,1,97
137,2,143
137,3,158
138,1,110
139,2,124
139,3,130
140,1,105
140,2,151
140,3,161
141,1,97
141,2,210
141,3,379
142,1,122
142,2,168
142,3,243
143,1,101
143,2,155
143,3,253
144,1,94
144,2,139
144,3,195
145,1,93
145,2,143
145,3,165
146,1,95
146,2,148
146,3,169
147,1,78
147,2,83
147,3,99
148,1,90
148,2,114
148,3,139
149,1,90
149,2,122
149,3,142
150,1,90
150,2,119
150,3,199
151,1,129
151,2,167
151,3,210
152,1,135
152,2,163
152,3,198
335,1,237
335,2,296
50,2,720
335,3,365
336,1,243
336,2,284
336,3,336
337,1,243
337,2,289
337,3,368
18,1,528
18,2,636
18,3,675
19,1,503
19,2,626
19,3,690
20,1,447
20,2,624
20,3,622
33,2,640
21,1,457
21,2,602
21,3,651
22,1,391
22,2,526
22,3,513
50,1,412
33,3,717
50,3,745
51,1,521
51,2,649
51,3,674
52,1,515
52,2,631
52,3,646
53,1,521
157,1,97
53,2,620
53,3,646
154,1,108
154,2,142
154,3,158
32,1,525
32,2,628
32,3,716
33,1,535
80,1,325
80,2,490
80,3,530
81,1,349
81,2,537
81,3,567
82,1,425
82,2,550
82,3,596
83,1,426
83,2,530
83,3,565
155,1,93
155,2,118
155,3,136
156,1,92
156,2,123
156,3,145
157,2,117
157,3,142
158,1,89
158,2,123
158,3,143
159,1,88
159,2,119
159,3,125
160,1,65
160,2,75
160,3,83
161,1,69
161,2,76
161,3,83
162,1,85
162,2,102
162,3,107
163,1,87
163,2,101
163,3,162
164,1,79
164,2,92
164,3,165
165,1,67
165,2,80
165,3,104
166,1,93
166,2,119
166,3,278
167,1,90
167,2,123
167,3,370
168,1,91
168,2,116
168,3,125
169,1,93
169,2,122
169,3,167
338,1,217
338,2,252
338,3,275
339,1,230
339,2,271
339,3,306
340,1,232
340,2,291
340,3,358
341,1,222
341,2,274
341,3,310
342,1,139
342,2,212
342,3,234
343,1,201
343,2,246
343,3,265
34,1,534
34,2,653
34,3,695
35,1,525
35,2,647
35,3,687
36,1,524
36,2,645
36,3,716
37,1,527
37,2,653
37,3,731
103,1,526
103,2,690
103,3,697
104,1,410
104,2,643
104,3,645
105,1,472
105,2,612
153,2,164
105,3,663
106,1,440
106,2,581
106,3,602
107,1,475
107,2,567
107,3,600
120,3,167
108,1,457
108,2,555
108,3,600
109,1,455
109,2,605
109,3,658
110,1,376
110,2,487
110,3,549
111,1,373
111,2,575
111,3,631
112,1,239
112,2,340
112,3,420
113,1,220
113,2,338
113,3,357
114,1,397
114,2,511
114,3,525
115,1,129
117,2,175
115,2,180
115,3,216
116,1,136
116,2,164
116,3,181
117,1,130
117,3,197
38,1,517
38,2,674
38,3,749
39,1,524
39,2,693
39,3,753
40,1,506
128,2,179
40,2,666
40,3,712
41,1,455
41,2,716
41,3,732
42,1,524
42,2,689
42,3,745
43,1,482
43,2,716
43,3,753
44,1,513
44,2,703
44,3,774
45,1,479
45,2,686
45,3,763
46,1,467
46,2,730
46,3,763
47,1,460
47,2,683
47,3,706
48,1,380
48,2,664
48,3,699
49,1,411
49,2,759
49,3,791
54,1,524
62,2,594
54,2,618
54,3,646
55,1,542
55,2,680
55,3,708
56,1,529
56,2,668
56,3,701
57,1,528
57,2,634
57,3,664
58,1,516
58,2,616
58,3,637
59,1,510
59,2,594
59,3,616
60,1,515
60,2,618
60,3,648
61,1,523
61,2,594
61,3,594
62,1,518
62,3,596
63,1,455
63,2,579
63,3,635
64,1,408
64,2,557
64,3,619
65,1,528
65,2,615
65,3,652
66,1,524
66,2,592
66,3,618
67,1,524
67,2,609
67,3,622
118,1,127
118,2,156
118,3,175
119,1,106
119,2,146
119,3,161
120,1,92
120,2,146
121,1,125
121,2,180
121,3,199
122,1,139
122,2,204
122,3,211
123,1,126
123,2,175
123,3,198
124,1,119
124,2,171
124,3,210
125,1,124
125,2,160
125,3,176
128,1,121
128,3,201
129,1,131
129,2,209
129,3,231
68,1,523
68,2,604
68,3,632
69,1,497
69,2,605
69,3,640
71,1,503
71,2,570
71,3,601
72,1,496
72,2,578
72,3,610
73,1,484
73,2,580
73,3,620
74,1,440
74,2,571
74,3,607
75,1,430
75,2,543
75,3,570
76,1,400
76,2,519
76,3,548
77,1,382
77,2,521
77,3,562
78,1,357
78,2,551
96,1,122
78,3,547
79,1,337
79,2,468
79,3,513
84,1,461
84,2,584
84,3,623
85,1,500
99,2,79
85,2,600
85,3,627
86,1,490
86,2,578
86,3,604
87,1,331
87,2,528
87,3,550
88,1,367
88,2,555
88,3,608
89,1,315
89,2,405
89,3,466
90,1,268
99,3,117
90,2,387
90,3,345
91,1,230
91,2,315
91,3,288
92,1,111
92,2,128
92,3,206
93,1,114
100,1,76
93,2,136
93,3,243
94,1,121
94,2,139
94,3,244
95,1,199
95,2,285
95,3,335
96,2,241
96,3,343
97,1,244
97,2,417
97,3,446
98,1,154
98,2,296
98,3,321
99,1,49
100,2,81
100,3,84
101,1,175
101,2,272
101,3,285
102,1,244
102,2,459
102,3,603
153,1,104
153,3,211
170,1,73
170,2,93
170,3,115
171,1,55
171,2,99
171,3,143
172,1,119
172,2,148
172,3,181
173,1,132
173,2,152
173,3,196
174,1,132
174,2,171
174,3,208
175,1,124
175,2,158
175,3,190
176,1,119
183,3,242
176,2,148
176,3,156
177,1,118
177,2,155
177,3,156
178,1,124
178,2,157
178,3,169
179,1,104
179,2,128
179,3,129
180,1,142
180,2,215
180,3,252
181,1,130
181,2,199
181,3,232
182,1,143
182,2,214
182,3,257
183,1,120
183,2,180
184,1,145
184,2,261
184,3,285
185,1,235
185,2,447
185,3,473
186,1,121
186,2,232
186,3,251
187,1,251
187,2,465
187,3,491
188,1,340
188,2,472
188,3,515
189,1,188
189,2,386
189,3,418
191,1,267
191,2,501
191,3,568
192,1,232
192,2,393
192,3,505
193,1,127
193,2,207
193,3,255
194,1,126
194,2,184
194,3,229
202,3,578
195,1,121
195,2,179
195,3,219
196,1,125
196,2,199
196,3,261
197,1,128
243,3,28
197,2,209
197,3,264
198,1,138
198,2,205
198,3,254
199,1,110
199,2,213
199,3,246
200,1,142
200,2,210
200,3,275
201,1,253
201,2,443
201,3,536
202,1,258
202,2,485
326,1,102
203,1,210
203,2,391
203,3,482
204,1,152
204,2,283
204,3,361
207,1,141
399,3,345
207,2,317
207,3,392
208,1,263
208,2,374
208,3,430
209,1,314
209,2,549
209,3,611
210,1,133
210,2,293
210,3,369
211,1,66
211,2,102
211,3,103
212,1,334
212,2,468
212,3,545
213,1,327
213,2,451
213,3,531
214,1,300
214,2,403
214,3,458
215,1,238
215,2,330
215,3,339
216,1,154
216,2,243
216,3,285
344,1,186
344,2,248
344,3,268
345,1,290
345,2,473
345,3,502
346,1,343
